/usr/local/lib/python3.6/dist-packages/ipykernel_launcher.py:22: VisibleDeprecationWarning: Passing `normed=True` on non-uniform bins has always been broken, and computes neither the probability density function nor the probability mass function. The result is only correct if the bins are uniform, when density=True will produce the same result anyway. The argument will be removed in a future version of numpy.
/usr/local/lib/python3.6/dist-packages/ipykernel_launcher.py:23: VisibleDeprecationWarning: Passing `normed=True` on non-uniform bins has always been broken, and computes neither the probability density function nor the probability mass function. The result is only correct if the bins are uniform, when density=True will produce the same result anyway. The argument will be removed in a future version of numpy.

mfc: 5.6613946084103475, thres: 1.258181350537019, gd: 2, error: 110847.86941178536

/usr/local/lib/python3.6/dist-packages/ipykernel_launcher.py:22: VisibleDeprecationWarning: Passing `normed=True` on non-uniform bins has always been broken, and computes neither the probability density function nor the probability mass function. The result is only correct if the bins are uniform, when density=True will produce the same result anyway. The argument will be removed in a future version of numpy.
/usr/local/lib/python3.6/dist-packages/ipykernel_launcher.py:23: VisibleDeprecationWarning: Passing `normed=True` on non-uniform bins has always been broken, and computes neither the probability density function nor the probability mass function. The result is only correct if the bins are uniform, when density=True will produce the same result anyway. The argument will be removed in a future version of numpy.

mfc: 3.6918315916139584, thres: 4.889203808879122, gd: 2, error: 32100.213690770815
mfc: 3.6918316016139583, thres: 4.889203808879122, gd: 2, error: 31731.186448892837
mfc: 3.6918315916139584, thres: 4.889203818879122, gd: 2, error: 30324.34530646684
mfc: 3.6916404068942326, thres: 4.889199818323978, gd: 2, error: 30233.822908851602
mfc: 3.6916404168942325, thres: 4.889199818323978, gd: 2, error: 28825.374601452306
mfc: 3.6916404068942326, thres: 4.889199828323978, gd: 2, error: 30121.09006119767
mfc: 3.691576624080728, thres: 4.889198486999828, gd: 2, error: 31218.96373366708
mfc: 3.691576634080728, thres: 4.889198486999828, gd: 2, error: 29961.59485372401
mfc: 3.691576624080728, thres: 4.889198496999828, gd: 2, error: 35014.24843830716
mfc: 3.6915585340360035, thres: 4.889198109410442, gd: 2, error: 29677.967707468837
mfc: 3.6915585440360035, thres: 4.889198109410442, gd: 2, error: 29235.251845074923
mfc: 3.6915585340360035, thres: 4.889198119410442, gd: 2, error: 30655.496186717857
mfc: 3.6915534118618245, thres: 4.889198002496466, gd: 2, error: 32033.237245574473
mfc: 3.6915534218618244, thres: 4.889198002496466, gd: 2, error: 30669.19141890172
mfc: 3.6915534118618245, thres: 4.889198012496466, gd: 2, error: 30952.814908556975
mfc: 3.6915517056577243, thres: 4.8891979668832555, gd: 2, error: 29767.60750242716
mfc: 3.691551715657724, thres: 4.8891979668832555, gd: 2, error: 32716.829890151977
mfc: 3.6915517056577243, thres: 4.889197976883255, gd: 2, error: 32219.019560638844
mfc: 3.6915514515533223, thres: 4.889197938334289, gd: 2, error: 29839.26429135462
mfc: 3.6915514615533223, thres: 4.889197938334289, gd: 2, error: 29641.689034085357
mfc: 3.6915514515533223, thres: 4.889197948334289, gd: 2, error: 27689.306707691845
mfc: 3.691551615171215, thres: 4.889197956716976, gd: 2, error: 30026.67905109182
mfc: 3.691551625171215, thres: 4.889197956716976, gd: 2, error: 33097.98568878936
mfc: 3.691551615171215, thres: 4.889197966716976, gd: 2, error: 30147.4383539606
mfc: 3.691551686440568, thres: 4.8891979647241826, gd: 2, error: 31087.589565522925
mfc: 3.691551696440568, thres: 4.8891979647241826, gd: 2, error: 29744.819737345173
mfc: 3.691551686440568, thres: 4.8891979747241825, gd: 2, error: 29877.9410011407
mfc: 3.6915517002312614, thres: 4.889197966273585, gd: 2, error: 29551.650576105818
mfc: 3.6915517102312614, thres: 4.889197966273585, gd: 2, error: 29050.028301255676
mfc: 3.6915517002312614, thres: 4.889197976273585, gd: 2, error: 31141.466209378148
mfc: 3.69155170172808, thres: 4.889197962312894, gd: 2, error: 31109.56616761655
mfc: 3.69155171172808, thres: 4.889197962312894, gd: 2, error: 29347.17846517889
mfc: 3.69155170172808, thres: 4.8891979723128935, gd: 2, error: 31490.709189052992
mfc: 3.6915517003172633, thres: 4.889197966046018, gd: 2, error: 31397.603758575224
mfc: 3.6915517103172633, thres: 4.889197966046018, gd: 2, error: 30954.038431093406
mfc: 3.6915517003172633, thres: 4.889197976046018, gd: 2, error: 32113.065043449868
mfc: 3.6915517002315714, thres: 4.889197966272765, gd: 2, error: 33242.551403021265
mfc: 3.6915517102315714, thres: 4.889197966272765, gd: 2, error: 31257.84904396781
mfc: 3.6915517002315714, thres: 4.889197976272765, gd: 2, error: 32063.849185845113
mfc: 3.6915517002312614, thres: 4.889197966273585, gd: 2, error: 31869.72261626508
mfc: 3.6915517102312614, thres: 4.889197966273585, gd: 2, error: 31145.686763527425
mfc: 3.6915517002312614, thres: 4.889197976273585, gd: 2, error: 29924.769357622048
mfc: 3.6915517002312614, thres: 4.889197966273585, gd: 2, error: 31406.009179461995
mfc: 3.6915517102312614, thres: 4.889197966273585, gd: 2, error: 28997.121897713136
mfc: 3.6915517002312614, thres: 4.889197976273585, gd: 2, error: 31385.020511447798
mfc: 3.6915517002312614, thres: 4.889197966273585, gd: 2, error: 30011.69494798514
mfc: 3.6915517102312614, thres: 4.889197966273585, gd: 2, error: 30437.087422474237
mfc: 3.6915517002312614, thres: 4.889197976273585, gd: 2, error: 31338.333810823846
Fitting ended
=======
mfc_result = 3.69155101785561, thres_result = 4.889197952526919

	time taken: 429.32min

